"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
670;0,319317741743234;0,00579119218638433;0,0250225006680988;0,0485505351364773;0,0911393166089258;0,0262239761682281;0,300840564970169;7,9021957391692;2,54069572543666;2,2862400036708;2,82801029514802;1,26915704506521;-378,066401811163
671;0,269259962240071;0,127663647881565;0,0474545062708507;0,0787288920980879;0,185492346130777;0,0162231644031503;0,362518674145804;7,82317133477932;3,01746226087968;1,76516963400185;3,66004470433275;1,57388027724747;-380,258731529959
672;0,245177484457729;0,0464598044563763;0,0283939877450888;0,0331833724441071;0,188373070850284;0,0234624453737231;0,230649370158771;5,29628483024753;2,83025088742727;3,72489773689306;1,69868875506016;0,797264504904345;-377,379961387296
673;0,313120682058048;0,0194987711133871;0,0271774309573483;0,0208251322921442;0,135359155440995;0,0256203417579791;0,333722382802819;3,21576902865503;1,0840745847129;3,04384909445788;1,56979883418879;0,710163165988902;-374,641036585383
674;0,324322405560277;0,0143275292494319;0,0143346959338773;0,1019441817165;0,00622472954113252;0,0855629726284365;0,337521501775703;3,38244579958504;1,36163759592266;2,28590782260335;2,7004960743464;0,393156146283122;-378,398014263268
675;0,279615239995602;0,109195914171585;0,0192769714943237;0,167958022296538;0,0213093850967121;0,0485842259390295;0,362196555744951;4,60482919120456;1,03307128795983;1,97277792569774;3,39491912308977;0,82862424461812;-378,996828253247
676;0,251633409533122;0,186794161342702;0,0195802481839301;0,14799439043636;0,0670138536844593;0,0719040784576909;0,453685330244453;5,21499293633905;2,91359306224079;1,1345325845861;1,97173557166228;1,17152927231252;-380,492431553693
677;0,336029301728513;0,177456814678352;0,0260443169573138;0,100943090039352;0,1534555491741;0,0924835550180046;0,334568984813097;5,30690284757556;3,51334004397701;2,70379443865164;2,30860186081242;0,86314669862262;-379,935086072138
678;0,329642893633379;0,30372635633644;0,0153747701266196;0,0640927347218628;0,218534292140203;0,0355696649013065;0,792957824665623;8,18044527462253;4,37022665772378;0,426859190118285;2,64492832979275;0,862062810580765;-381,162374627174
679;0,179248495394231;0,50368734658204;0,00540235830436277;0,12779922016741;0,143193266852219;0,0634684166507869;1,14182917134205;7,68478712111499;4,66637166171432;0,825699313494195;3,85169366291947;0,652795208074992;-382,373044444988
680;0,228995296409764;0,611167518181358;0,0233325855454631;0,262861260602488;0,155823860187743;0,0015967595157454;0,0754252900331667;10,4521007858405;2,91741415344879;2,61917953536507;3,12871947711478;0,943399739547276;-384,193368855887
681;0,14477873812261;0,470585234486163;0,0600858423723475;0,0562963321227434;0,165171009779291;0,0632631548437973;0,337929838326168;9,44127442260838;3,16259129944998;1,72323875014096;2,6194482227744;0,81737983673849;-381,238710212185
682;0,0315738000677889;0,638474669877073;0,0624845267282637;0,095509258205781;0,131142953978774;0,0371471406483233;0,0149756853447777;7,92043117543885;5,56604017198831;0,121267741778111;2,58925879821117;1,0422381115129;-379,583852216277
683;0,0170976293326247;0,572236784098229;0,0443082607117048;0,0270668936271109;0,127457785246633;0,00810885790508944;0,13074008732248;6,48345559174898;5,87243675451677;1,12604819517527;2,05953600290563;1,40881953817679;-378,010660678019
684;0,0366194510975725;0,348200403523862;0,0578883623926788;0,0228765145558584;0,119063008841863;0,00932624757652002;1,68475421284657;6,07382330445982;7,96660442307768;0,65023370536938;1,16500327604187;1,4467532499122;-377,246358735459
685;0,0838352778003722;0,135524808566218;0,130331072422356;0,184648917233602;0,102077191540477;0,0165080883665489;1,54329430285598;4,38584408368906;9,5532174361561;2,04642442831303;0,215605223325274;2,069474006318;-378,636048222582
686;0,0441209186627965;0,148401711763372;0,148592428297799;0,0316573687199521;0,44045041133532;0,0344794999674734;1,15537950128876;3,06891358058352;8,83452743049137;4,06180522362471;0,314261428940669;2,00489641084938;-378,48884098945
687;0,0914899543000037;0,221225373681817;0,122289711428521;0,0296151104727097;0,109270841940915;0,0762718013754988;0,550442882075231;2,38419292844193;2,9496961460924;3,06116790000962;0,910792960128675;1,01656830346566;-373,43602098024
688;0,0593251297566491;0,220373591063006;0,12806699674218;0,0246929308300299;0,110377939052213;0,0877417185124445;0,286550426100707;2,25649774676566;1,841902880758;2,3365018283625;0,602917469027232;0,683912849006061;-372,994289250283
689;0,0514345651849334;0,260442666436166;0,1344942960374;0,0452658438965576;0,0914485432661413;0,0376979435935869;0,147186298253714;1,07952891947884;1,2780397320348;3,0247987645108;0,733580291527447;0,38371153983616;-371,899197927416
690;0,0635307743574866;0,118981862486192;0,144714257372137;0,0584552213172178;0,264827849027232;0,00730969611344511;0,627711385499684;0,677811371211315;0,136628849883034;3,45100451609737;0,615903443360976;0,345906840555133;-369,929058138842
691;0,0603976041425082;0,242617615984087;0,0721440853871185;0,0504831933568856;0,201165110048235;0,0200040333090144;0,804588640505654;0,591886580079803;0,271425504336829;2,18801818425208;0,475901036971771;0,502176581471664;-372,290658424574
